ID, t, I
707, 7.070, 1713.0
708, 7.080, 1701.0
709, 7.090, 1681.0
710, 7.100, 1693.0
711, 7.110, 1703.0
712, 7.120, 1693.0
713, 7.130, 1689.0
714, 7.140, 1676.0
715, 7.150, 1676.0
716, 7.160, 1678.0
717, 7.170, 1658.0
718, 7.180, 1675.0
719, 7.190, 1671.0
720, 7.200, 1660.0
721, 7.210, 1646.0
722, 7.220, 1644.0
723, 7.230, 1660.0
724, 7.240, 1676.0
725, 7.250, 1660.0
726, 7.260, 1648.0
727, 7.270, 1636.0
728, 7.280, 1663.0
729, 7.290, 1665.0
730, 7.300, 1677.0
731, 7.310, 1651.0
732, 7.320, 1651.0
733, 7.330, 1671.0
734, 7.340, 1672.0
735, 7.350, 1683.0
736, 7.360, 1675.0
737, 7.370, 1687.0
738, 7.380, 1687.0
739, 7.390, 1687.0
740, 7.400, 1693.0
741, 7.410, 1695.0
742, 7.420, 1704.0
743, 7.430, 1691.0
744, 7.440, 1682.0
745, 7.450, 1700.0
746, 7.460, 1726.0
747, 7.470, 1713.0
748, 7.480, 1699.0
749, 7.490, 1678.0
750, 7.500, 1688.0
751, 7.510, 1700.0
752, 7.520, 1708.0
753, 7.530, 1692.0
754, 7.540, 1670.0
755, 7.550, 1681.0
756, 7.560, 1680.0
757, 7.570, 1694.0
758, 7.580, 1669.0
759, 7.590, 1668.0
760, 7.600, 1669.0
761, 7.610, 1654.0
762, 7.620, 1665.0
763, 7.630, 1673.0
764, 7.640, 1668.0
765, 7.650, 1660.0
766, 7.660, 1639.0
767, 7.670, 1637.0
768, 7.680, 1668.0
769, 7.690, 1667.0
770, 7.700, 1655.0
771, 7.710, 1639.0
772, 7.720, 1648.0
773, 7.730, 1649.0
774, 7.740, 1667.0
775, 7.750, 1654.0
776, 7.760, 1662.0
777, 7.770, 1664.0
778, 7.780, 1661.0
779, 7.790, 1687.0
780, 7.800, 1674.0
781, 7.810, 1675.0
782, 7.820, 1677.0
783, 7.830, 1666.0
784, 7.840, 1674.0
785, 7.850, 1683.0
786, 7.860, 1697.0
787, 7.870, 1713.0
788, 7.880, 1685.0
789, 7.890, 1689.0
790, 7.900, 1688.0
791, 7.910, 1709.0
792, 7.920, 1715.0
793, 7.930, 1689.0
794, 7.940, 1684.0
795, 7.950, 1685.0
796, 7.960, 1707.0
797, 7.970, 1701.0
798, 7.980, 1686.0
799, 7.990, 1688.0
800, 8.000, 1661.0
801, 8.010, 1701.0
802, 8.020, 1671.0
803, 8.030, 1660.0
804, 8.040, 1683.0
805, 8.050, 1664.0
806, 8.060, 1671.0
807, 8.070, 1648.0
808, 8.080, 1655.0
